City,Latitude,Longitude,Max-Temp,Humidity,Cloudiness,Wind Speed,Country,Date
margate,51.3813,1.3862,43.0,81,99,7.36,GB,1619495405
kalianget,-7.05,113.9333,84.43,69,29,13.82,ID,1619495405
condoto,5.0935,-76.6497,72.64,97,100,1.88,CO,1619495406
rocha,-34.4833,-54.3333,50.97,85,0,5.06,UY,1619495406
vila velha,-20.3297,-40.2925,75.2,94,40,3.44,BR,1619495406
touros,-5.1989,-35.4608,75.2,88,20,2.3,BR,1619495407
qui nhon,13.7667,109.2333,84.74,67,100,9.42,VN,1619495407
adrar,20.5022,-10.0711,77.31,22,12,8.9,MR,1619495407
dawei,14.0833,98.2,87.3,61,100,2.48,MM,1619495408
saint-georges,12.0564,-61.7485,80.6,78,20,19.57,GD,1619495423
kawambwa,-9.7915,29.0791,59.88,94,98,3.04,ZM,1619495424
kabanjahe,3.1001,98.4908,80.6,94,40,2.3,ID,1619495424
dingtao,35.0683,115.5625,76.33,15,29,10.38,CN,1619495425
muros,42.7762,-9.0603,54.0,92,22,6.64,ES,1619495425
grenada,37.1882,-3.6067,48.99,93,0,1.14,ES,1619495425
cidreira,-30.1811,-50.2056,61.09,79,1,9.42,BR,1619495426
roma,43.2128,-75.4557,35.01,60,1,3.44,US,1619495191
narrabri,-30.3167,149.7833,77.0,35,1,3.44,AU,1619495427
san juan,-31.5375,-68.5364,64.62,51,0,3.27,AR,1619495427
sayyan,15.1718,44.3244,53.6,81,100,3.27,YE,1619495427
athabasca,54.7169,-113.2854,37.4,69,100,9.22,CA,1619495428
ciudad bolivar,8.1222,-63.5497,82.78,55,85,13.02,VE,1619495428
pouembout,-21.1333,164.9,76.08,66,51,14.05,NC,1619495429
tessalit,20.1986,1.0114,85.41,10,31,8.93,ML,1619495429
pouebo,-20.4,164.5667,74.82,70,45,5.19,NC,1619495429
sept-iles,50.2001,-66.3821,41.0,93,90,13.8,CA,1619495430
navahrudak,53.6,25.8333,27.66,91,55,7.07,BY,1619495430
kargasok,59.0556,80.8572,46.71,60,0,11.39,RU,1619495430
valley city,46.9233,-98.0032,42.8,100,90,3.06,US,1619495431
portland,45.5234,-122.6762,55.4,62,75,6.91,US,1619494919
rognan,67.0953,15.3878,34.0,88,85,2.77,NO,1619495432
paka,4.6374,103.4368,86.0,74,20,1.14,MY,1619495432
yeppoon,-23.1333,150.7333,80.6,34,40,14.97,AU,1619495432
mentougou,39.9392,116.0917,69.8,14,0,26.84,CN,1619495433
muhammadabad,25.6333,83.75,99.61,6,100,6.4,IN,1619495433
krasnoarmeysk,51.0239,45.6969,42.01,86,100,3.0,RU,1619495434
alta floresta,-9.8756,-56.0861,70.43,97,88,1.5,BR,1619495434
powell,40.1578,-83.0752,59.0,41,1,11.5,US,1619495435
kushmurun,52.4503,64.6311,49.44,91,100,11.25,KZ,1619495435
saint-joseph,-21.3667,55.6167,75.2,88,75,20.71,RE,1619495435
donauworth,48.7,10.8,36.0,69,40,3.44,DE,1619495436
grindavik,63.8424,-22.4338,42.8,100,75,3.44,IS,1619495436
milkovo,54.7167,158.6167,35.74,97,100,6.85,RU,1619495437
cascais,38.6979,-9.4215,60.01,66,97,4.0,PT,1619495437
mundwa,27.0667,73.8167,94.59,14,0,10.51,IN,1619495438
oktyabrskoye,43.0645,44.7417,48.2,93,90,4.47,RU,1619495438
ust-kut,56.7938,105.7672,32.18,53,78,9.42,RU,1619495438
skibbereen,51.55,-9.2667,46.4,87,75,14.97,IE,1619495439
zhuanghe,39.7008,122.9911,52.11,94,100,8.01,CN,1619495439
chengde,40.9725,117.9361,62.8,20,38,17.63,CN,1619495439
leningradskiy,69.3833,178.4167,32.43,87,97,3.76,RU,1619495440
banjar,-8.19,114.9675,86.0,70,20,14.97,ID,1619495440
constitucion,-35.3333,-72.4167,57.22,60,0,6.08,CL,1619495440
tual,-5.6667,132.75,83.12,56,13,2.01,ID,1619495441
buraydah,26.326,43.975,75.2,53,0,4.61,SA,1619495441
gulu,2.7746,32.299,62.73,96,100,2.73,UG,1619495441
college,64.8569,-147.8028,48.2,43,40,18.41,US,1619495442
khunti,23.0833,85.2833,89.6,31,75,5.23,IN,1619495442
alyangula,-13.8483,136.4192,77.0,100,75,3.44,AU,1619495443
padang,-0.9492,100.3543,87.8,66,20,3.44,ID,1619495458
hervey bay,-25.2986,152.8535,73.0,63,52,5.99,AU,1619495458
southbridge,42.0751,-72.0334,43.0,51,31,8.19,US,1619495459
mandal,25.45,74.5667,96.78,10,0,10.63,IN,1619495459
qinnan,33.2531,119.9133,65.39,79,100,4.34,CN,1619495459
omboue,-1.5746,9.2618,77.27,90,100,4.85,GA,1619495460
dingle,10.9995,122.6711,88.7,52,39,10.94,PH,1619495460
noumea,-22.2763,166.4572,77.0,61,20,17.27,NC,1619495460
sandnessjoen,66.0217,12.6316,33.8,86,40,5.75,NO,1619495461
pacific grove,36.6177,-121.9166,53.01,82,47,1.99,US,1619495461
vostok,46.4856,135.8833,61.9,24,100,6.2,RU,1619495462
russell,32.3502,-85.1999,68.0,94,1,4.54,US,1619495462
qena,26.1615,32.7183,69.8,46,0,5.75,EG,1619495462
jijiga,9.35,42.8,61.25,87,100,4.27,ET,1619495463
wenling,28.3669,121.36,66.0,77,100,3.09,CN,1619495463
santa cruz del sur,20.7147,-77.9956,76.26,77,0,12.24,CU,1619495464
alexandria,31.2156,29.9553,60.8,72,0,8.05,EG,1619495464
maceio,-9.6658,-35.7353,73.4,94,20,3.44,BR,1619495457
wolgast,54.05,13.7667,30.0,75,0,4.09,DE,1619495464
mayumba,-3.432,10.6554,77.76,89,100,5.06,GA,1619495465
batagay-alyta,67.8006,130.4114,22.28,92,100,12.84,RU,1619495465
santa maria,-29.6842,-53.8069,48.2,100,0,1.14,BR,1619495466
oussouye,12.485,-16.5469,71.6,83,0,4.61,SN,1619495466
lock haven,41.137,-77.4469,42.01,58,39,2.24,US,1619495466
fraga,41.5229,0.3489,52.0,93,75,2.3,ES,1619495467
aklavik,68.2191,-135.0107,23.0,42,62,5.75,CA,1619495467
dauriya,49.9333,116.8667,38.7,53,96,21.43,RU,1619495467
parchim,53.4263,11.8488,32.0,91,0,1.01,DE,1619495468
isangel,-19.55,169.2667,82.4,74,75,9.22,VU,1619495468
kurumkan,54.3,110.3,37.53,37,18,13.13,RU,1619495469
arilje,43.7531,20.0956,46.4,93,0,5.75,RS,1619495469
hirara,24.8,125.2833,78.8,57,40,12.66,JP,1619495469
clonakilty,51.6231,-8.8706,48.0,87,75,14.97,IE,1619495470
ban tak,17.0432,99.0813,82.4,78,75,7.31,TH,1619495470
windhoek,-22.5594,17.0832,60.8,48,5,3.44,NA,1619495470
erenhot,43.6475,111.9767,46.92,19,93,24.65,CN,1619495471
kapoeta,4.7717,33.5903,71.64,81,100,9.48,SS,1619495471
ostrovnoy,68.0531,39.5131,30.02,70,100,11.45,RU,1619495472
torit,4.4133,32.5678,69.75,87,100,2.44,SS,1619495472
pangai,-19.8,-174.35,77.0,83,90,8.05,TO,1619495472
pandan,14.0453,124.1694,80.78,69,99,12.55,PH,1619495473
krasnokamensk,50.0979,118.0369,42.49,41,97,22.75,RU,1619495473
newport,51.5877,-2.9984,39.0,87,73,4.23,GB,1619495328
gamba,-2.65,10.0,77.22,90,100,3.69,GA,1619495474
campiglia marittima,43.0602,10.6152,57.99,66,97,6.31,IT,1619495474
ridgecrest,35.6225,-117.6709,60.8,29,20,11.5,US,1619495474
sanok,49.5557,22.2056,32.0,100,56,5.99,PL,1619495475
salinopolis,-0.6136,-47.3561,78.37,85,81,7.14,BR,1619495475
natchez,31.5604,-91.4032,69.8,73,1,14.97,US,1619495396
fort nelson,58.8053,-122.7002,21.2,86,90,9.22,CA,1619495249
black river,18.0264,-77.8487,78.8,78,20,3.44,JM,1619495491
trogir,43.5125,16.2517,60.8,59,90,9.22,HR,1619495491
moron,-34.6534,-58.6198,61.0,100,0,1.14,AR,1619495492
itaporanga,-7.3044,-38.1503,72.97,76,46,4.09,BR,1619495492
peterhead,57.5058,-1.7981,44.6,100,90,9.22,GB,1619495492
taltal,-25.4,-70.4833,60.84,84,2,2.64,CL,1619495218
yarada,17.65,83.2667,87.8,70,40,6.91,IN,1619495493
kendari,-3.945,122.4989,84.0,73,40,3.02,ID,1619495493
dickinson,29.4608,-95.0513,73.0,88,20,10.36,US,1619495494
fukuma,33.7667,130.4667,72.0,37,75,8.05,JP,1619495494
tvoroyri,61.5556,-6.8111,37.4,87,40,14.97,FO,1619495494
mandeville,18.0417,-77.5071,78.8,78,20,3.44,JM,1619495495
hofn,64.2539,-15.2082,38.21,69,17,3.83,IS,1619495495
carballo,43.213,-8.691,55.0,95,98,2.62,ES,1619495495
luena,-11.7833,19.9167,58.71,94,73,1.25,AO,1619495496
bulungu,-4.55,18.6,69.73,96,94,1.83,CD,1619495496
yumen,40.2833,97.2,53.13,11,87,13.76,CN,1619495497
dhidhdhoo,6.8833,73.1,84.52,70,31,6.08,MV,1619495497
antofagasta,-23.65,-70.4,60.8,63,0,3.44,CL,1619495251
bida,9.0833,6.0167,80.02,64,63,3.2,NG,1619495497
raudeberg,61.9875,5.1352,39.0,75,100,8.66,NO,1619495498
orikum,40.3253,19.4714,59.67,64,97,21.92,AL,1619495498
hudson bay,52.85,-102.3842,45.45,54,97,10.27,CA,1619495498
phalaborwa,-23.943,31.1411,62.6,88,0,2.3,ZA,1619495499
montepuez,-13.1256,38.9997,67.46,98,77,2.66,MZ,1619495500
mezen,65.8522,44.24,29.77,83,100,12.03,RU,1619495500
qasigiannguit,68.8193,-51.1922,35.6,75,76,10.36,GL,1619495500
goure,13.9835,10.2704,79.29,12,2,8.41,NE,1619495501
mlonggo,-6.5333,110.7,89.6,58,20,13.8,ID,1619495501
trairi,-3.2778,-39.2689,76.3,88,36,5.97,BR,1619495501
namatanai,-3.6667,152.4333,85.05,69,54,4.92,PG,1619495502
nago,26.5881,127.9761,77.0,47,40,13.8,JP,1619495502
daru,-9.0763,143.2092,82.17,82,80,5.75,PG,1619495503
sur,22.5667,59.5289,90.14,35,19,3.42,OM,1619495503
qaqortoq,60.7167,-46.0333,35.6,93,75,4.61,GL,1619495503
hereford,52.0568,-2.7148,44.01,84,96,3.33,GB,1619495504
eresos,39.1667,25.9333,51.8,76,0,4.61,GR,1619495504
santarem,-2.4431,-54.7083,75.2,100,40,4.61,BR,1619495504
paracuru,-3.41,-39.0306,82.0,76,42,18.99,BR,1619495505
dillon,34.4166,-79.3712,61.0,72,1,7.14,US,1619495505
lodwar,3.1191,35.5973,75.31,75,99,5.46,KE,1619495505
roald,62.5833,6.1333,37.4,70,99,11.5,NO,1619495506
arauca,7.0847,-70.7591,80.6,78,100,3.44,CO,1619495506
urubamba,-13.3047,-72.1158,49.21,86,23,2.62,PE,1619495507
bijie,27.3125,105.2942,55.83,77,99,1.9,CN,1619495507
sinnamary,5.3833,-52.95,76.26,93,100,9.6,GF,1619495507
biloela,-24.4167,150.5,81.34,29,0,11.86,AU,1619495508
lucea,18.451,-78.1736,78.8,78,20,3.44,JM,1619495508
mazagao,-0.115,-51.2894,80.6,89,20,4.61,BR,1619495508
